"Kommun" "Folkmängd" "Andel arbetslösa" "Medellön" "Andel utbildade" "Kommunalskatt"
"105" "Svedala" 23596 0.039 37700 0.156 0.3142
"106" "Skurup" 17080 0.051 36300 0.12 0.316
"107" "Sjöbo" 19315 0.047 36300 0.105 0.321
"108" "Hörby" 15560 0.045 36200 0.113 0.3226
"109" "Höör" 17505 0.04 36000 0.165 0.3293
"110" "Tomelilla" 13625 0.054 37000 0.096 0.3179
"111" "Bromölla" 12482 0.074 35800 0.095 0.3374
"112" "Osby" 12940 0.069 35600 0.101 0.3399
"113" "Perstorp" 7240 0.116 35300 0.079 0.3199
"114" "Klippan" 17706 0.063 36400 0.091 0.3193
"115" "Åstorp" 16439 0.084 36400 0.085 0.3147
"116" "Båstad" 16010 0.044 36200 0.162 0.3141
"117" "Malmö" 365843 0.1 36700 0.225 0.3242
"118" "Lund" 131739 0.048 36300 0.29 0.3242
"119" "Landskrona" 47322 0.084 35600 0.126 0.3142
"120" "Helsingborg" 152211 0.089 36900 0.162 0.3139
"121" "Höganäs" 28453 0.043 39700 0.168 0.3091
"122" "Eslöv" 34878 0.066 36500 0.137 0.3172
"123" "Ystad" 32107 0.043 36200 0.151 0.3129
"124" "Trelleborg" 47287 0.063 36500 0.123 0.3158
"125" "Kristianstad" 86367 0.08 36500 0.145 0.3264
"126" "Simrishamn" 18886 0.049 35800 0.14 0.3169
"127" "Ängelholm" 45097 0.043 36600 0.143 0.3147
"128" "Hässleholm" 52072 0.076 35300 0.121 0.3238
"129" "Hylte" 10193 0.066 35900 0.082 0.3385
"130" "Halmstad" 106068 0.061 36100 0.16 0.3238
"131" "Laholm" 26571 0.044 34900 0.113 0.328
"132" "Falkenberg" 47363 0.046 36100 0.115 0.325
"133" "Varberg" 69097 0.032 36500 0.146 0.3173
"134" "Kungsbacka" 85784 0.022 36900 0.18 0.3273
"135" "Härryda" 40034 0.028 37900 0.204 0.3198
"136" "Partille" 41084 0.037 37100 0.213 0.3144
"137" "Öckerö" 12772 0.022 36400 0.145 0.3304
"138" "Stenungsund" 27846 0.028 37000 0.146 0.3312
"139" "Tjörn" 16086 0.023 36700 0.144 0.3319
"140" "Orust" 15332 0.03 36700 0.118 0.3394
"141" "Sotenäs" 9083 0.03 36500 0.124 0.3347
"142" "Munkedal" 10343 0.041 36000 0.087 0.3486
"143" "Tanum" 12763 0.029 36600 0.121 0.3304
"144" "Dals-Ed" 4593 0.039 36200 0.09 0.3469
"145" "Färgelanda" 6378 0.049 35700 0.08 0.3439
